Grapheme	IPA
.	NULL
o̤ː	o̤ː
dʰ	dʰ
ɑ̤ː	ɑ̤ː
ɺ	ɺ
a̤	a̤
ɯː	ɯː
nʲ	nʲ
cʼ	cʼ
e̤	e̤
ps	pˢ
e	e
dʒ	dʒ
ɔː	ɔː
a̰	a̰
ʃ	ʃ
ɪː	ɪː
ṳː	ṳː
e̤ː	e̤ː
ɡ	ɡ
æː	æː
ĩ̤	ĩ̤
l	l
χ	χ
ẽ̤ː	ẽ̤ː
ə̤ː	ə̤ː
i̤ː	i̤ː
b	b
ç	ç
oː	oː
ə	ə
uː	uː
ŋ̊	ŋ̊
ʀ	ʀ
ɾ	ɾ
ɒ	ɒ
ʊː	ʊː
x	x
ɔ̤	ɔ̤
ɨ	ɨ
n̥	n̥
i	i
c	c
ãː	ãː
ø	ø
ɵ	ɵ
ɔ̤ː	ɔ̤ː
æ	æ
ĩ	ĩ
kʼ	kʼ
r	r
ʔ	ʔ
ã	ã
ŋ	ŋ
ᵐp	ⁿp
ḛ	ḛ
ʌ	ʌ
ɿ	ɿ
kʰ	kʰ
w	w
jʰ	jʰ
ɛ̤	ɛ̤
ă	ă
ɯ	ɯ
ɣ	ɣ
ɐː	ɐː
ḭ	ḭ
pʼ	pʼ
o̰	o̰
õ̰	õ̰
o̤	o̤
ṵ	ṵ
ɛː	ɛː
u	u
ɛ̰	ɛ̰
ɤ	ɤ
tʰ	tʰ
ṳ	ṳ
k	k
ɗ̥	ɗ̥
ɤː	ɤː
aː	aː
ɓ	ɓ
a̤ː	a̤ː
ɛ	ɛ
ŋʰ	ŋʰ
ʊ	ʊ
_	+
ⁿt	ⁿt
ɨ̤ː	ɨ̤ː
h	h
o	o
v	v
ɑː	ɑː
ə̤	ə̤
ɟʰ	ɟʰ
ts	ts
m̥	m̥
m	m
ɨː	ɨː
ɲ	ɲ
mʰ	mʰ
n	n
ɑ	ɑ
t	t
tʼ	tʼ
lʰ	lʰ
ɔ̃	ɔ̃
p	p
nʰ	nʰ
ɔ̰	ɔ̰
ɟ	ɟ
ɪ	ɪ
d	d
rʰ	rʰ
s	s
ɛ̃	ɛ̃
ʂ	ʂ
i̤	i̤
eː	eː
ʌː	ʌː
ɲ̊	ɲ̊
ɗ	ɗ
iː	iː
ɔ	ɔ
ɲʰ	ɲʰ
ɐ	ɐ
j	j
a	a
əː	əː
cʰ	cʰ
pʰ	pʰ
ᵐb	ⁿb
ɨ̤	ɨ̤
