ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_alcoholliquor,alcohol/liquor,404,ALCOHOL (FERMENTED DRINK),1
2_alivelive,alive/live,1422,BE ALIVE,2
3_ant,ant,587,ANT,3
4_arrow,arrow,977,ARROW,4
5_ashes,ashes,646,ASH,5
6_bamboo,bamboo,1927,BAMBOO,6
7_banana,banana,868,BANANA,7
8_beanspeas,beans/peas,2574,BEAN OR PEA,8
9_bear,bear,1820,BEAR,9
10_beehoneybee,bee/honeybee,665,BEE,10
11_bellystomach,belly/stomach,2114,BELLY OR STOMACH,11
12_bird,bird,937,BIRD,12
13_bitter,bitter,887,BITTER,13
14_black,black,163,BLACK,14
15_blood,blood,946,BLOOD,15
16_boat,boat,1844,BOAT,16
17_bodyhairfeathers,body hair/feathers,2381,FEATHER OR FUR OR HAIR,17
18_bone,bone,1394,BONE,18
19_bowcrossbow,"bow, crossbow",3228,BOW OR CROSSBOW,19
20_brain,brain,1583,BRAIN,20
21_branch,branch,1531,BRANCH,21
22_breast,breast,1402,BREAST,22
23_chickenfowl,chicken/fowl,1318,CHICKEN,23
24_childson,child/son,2391,BOY OR SON,24
25_cloud,cloud,1489,CLOUD,25
26_cold,cold,1287,COLD,26
27_dog,dog,2009,DOG,27
28_dry,dry,1398,DRY,28
29_ear,ear,1247,EAR,29
30_earthsoil,earth (soil),1228,EARTH (SOIL),30
31_egg,egg,744,EGG,31
32_eight,eight,1705,EIGHT,32
33_eye,eye,1248,EYE,33
34_fardistant,far/distant,1406,FAR,34
35_fatoilgrease,fat/oil/grease,2551,ORGANIC FAT OR OIL,35
36_fearafraid,fear/afraid,1419,FEAR (BE AFRAID),36
37_fecesexcrementshit,feces/excrement/shit,675,FAECES (EXCREMENT),37
38_fieldirrigated,field (irrigated),140,PADDY FIELD,38
39_fieldswiddenhill,field (swidden/hill),429,SWIDDEN FIELD,39
40_finger,finger,1303,FINGER,40
41_fire,fire,221,FIRE,41
42_fish,fish,227,FISH,42
43_five,five,493,FIVE,43
44_fleshmeat,flesh/meat,2615,FLESH OR MEAT,44
45_flower,flower,239,FLOWER,45
46_foot,foot,1301,FOOT,46
47_four,four,1500,FOUR,47
48_frog,frog,503,FROG,48
49_fruit,fruit,1507,FRUIT,49
50_full,full,1429,FULL,50
51_grandchild,grandchild,1617,GRANDCHILD,51
52_grass,grass,606,GRASS,52
53_green,green,1425,GREEN,53
54_hairhead,hair (head),2648,HAIR (HEAD),54
55_hand,hand,1277,HAND,55
56_head,head,1256,HEAD,56
57_heart,heart,1223,HEART,57
58_heavy,heavy,1210,HEAVY,58
59_horn,horn,1393,HORN (ANATOMY),59
60_hotwarm,hot/warm,2272,HOT OR WARM,60
61_house,house,1252,HOUSE,61
62_hundred,hundred,1634,HUNDRED,62
63_ime,"I, me",1209,I,63
64_intestinegut,intestine/gut,1991,INTESTINES,64
65_iron,iron,621,IRON,65
66_leaf,leaf,628,LEAF,66
67_leechland,leech (land),2273,LEECH,67
68_leftside,left (side),244,LEFT,68
69_lightweight,light (weight),1052,LIGHT (WEIGHT),69
70_liver,liver,1224,LIVER,70
71_long,long,1203,LONG,71
72_louse,louse,1392,LOUSE,72
73_manmalehuman,man (male human),2106,MALE PERSON,73
74_many,many,1198,MANY,74
75_medicinejuice,medicine/juice,2268,POTION,75
76_monkeyape,monkey/ape,3298,APE OR MONKEY,76
77_moon,moon,1313,MOON,77
78_mortar,mortar,224,MORTAR,78
79_mountain,mountain,639,MOUNTAIN,79
80_mouth,mouth,674,MOUTH,80
81_mushroomfungus,mushroom/fungus,641,MUSHROOM,81
82_nailclaw,nail/claw,2128,CLAW OR NAIL,82
83_name,name,1405,NAME,83
84_navel,navel,1838,NAVEL,84
85_near,near,1942,NEAR,85
86_neck,neck,1333,NECK,86
87_needle,needle,1382,NEEDLE (FOR SEWING),87
88_new,new,1231,NEW,88
89_night,night,1233,NIGHT,89
90_nine,nine,1483,NINE,90
91_nose,nose,1221,NOSE,91
92_old,old,1229,OLD,92
93_one,one,1493,ONE,93
94_palmofhand,palm (of hand),1183,PALM OF HAND,94
95_penis,penis,1222,PENIS,95
96_person,person,683,PERSON,96
97_pig,pig,1337,PIG,97
98_pigeondove,pigeon/dove,1853,DOVE,98
99_rain,rain,658,RAIN (PRECIPITATION),99
100_ratmouse,rat/mouse,2139,MUROID (MOUSE OR RAT),100
101_red,red,156,RED,101
102_ricecooked,rice (cooked),1191,COOKED RICE,102
103_riceunhusked,rice (unhusked),2749,UNHUSKED RICE,103
104_rightside,right (side),1019,RIGHT,104
105_ripecooked,ripe/cooked,3806,RIPE OR COOKED,105
106_river,river,666,RIVER,106
107_roadpath,road/path,2457,PATH OR ROAD,107
108_root,root,670,ROOT,108
109_round,round,1395,ROUND,109
110_salt,salt,1274,SALT,110
111_sand,sand,671,SAND,111
112_seed,seed,714,SEED,112
113_seven,seven,1704,SEVEN,113
114_shadeshadow,shade/shadow,1388,SHADE,114
115_shameashamed,shame/ashamed,1894,ASHAMED,115
116_sharpedged,sharp (edged),1396,SHARP,116
117_sickill,sick/ill,1847,SICK,117
118_six,six,1703,SIX,118
119_skinbark,skin/bark,2127,BARK OR SKIN,119
120_sky,sky,1732,SKY,120
